Title,URL,Type,Start_date,End_date,Countries,Funding,Funding_source,Funding_information,Partner,PI_institution,Principal_investigator,Partner,Abstract,Objectives,Methodology,Themes
Cluster randomized trial of ivermectin for malaria elimination,http://www.rimls.nl/news/funding-for-cluster-randomized-trial-of-ivermectin-for-malaria-elimination/,Project,,,Gambia,,"Medical Research Council (MRC), UK, Wellcome Trust",,,"Radboud University Medical Center (RUMC), The Netherlands","Teun Bousema, Rob Baltussen",,,This projects aims to carry community treatment campaigns with the mosquitocidal drug ivermectin to eliminate malaria from 32 villages in The Gambia.,Entomology,"Drug-based strategies, Tools for elimination"
Utilization of host cell resources by the malaria parasite in the liver: Inhibition of Plasmodium liver infection by Ivermectin,http://www.malariaeradication.org/mesa-track/utilization-host-cell-resources-malaria-parasite-liver-inhibition-plasmodium-liver,Project,,,Portugal,,"Foundation for Science and Technology (FCT), Portugal",Grant PTDC/SAU-MIC/117060/2010,,"Institute of Molecular Medicine (IMM), Lisbon",Miguel Prudencio,,"Avermectins are powerful endectocides with an established potential to reduce the incidence of vector-borne diseases. There is evidence that several avermectins inhibit the hepatic stage of Plasmodium infection in vitro. Notably, ivermectin potently inhibits liver infection in vivo by impairing parasite development inside hepatocytes. This impairment has a clear impact on the ensuing blood stage parasitemia, reducing disease severity and enhancing host survival. Ivermectin has been proposed as a tool to control malaria transmission because of its effects on the mosquito vector. This study extends the effect of ivermectin to the early stages of mammalian host infection and supports the inclusion of this multipurpose drug in malaria control strategies.
","To investigate the effects of avermectins on the liver stages of P. berghei parasites in order to provide further support for the potential of ivermectin, a drug that is already employed in mass drug administration (MDA) in regions where malaria is endemic.",Product development & clinical research,"Drug-based strategies, Tools for elimination"
"Controlled release of macromolecules. Oral, ultra?long-lasting drug delivery: Application toward malaria elimination goals",https://www.nibib.nih.gov/news-events/newsroom/long-lasting-drug-delivery-system-may-help-decrease-spread-malaria,Project,2015,2016,United States,,"National Institute Of Biomedical Imaging And Bioengineering (NIBIB), NIH",,,Massachusetts Institute of Technology (MIT),Robert Langer,,"Efforts at elimination of scourges, such as malaria, are limited by the logistic challenges of reaching large rural populations and ensuring patient adherence to adequate pharmacologic treatment. This team has generated long-acting formulations for controlled release of ivermectin, a drug that targets malaria-transmitting mosquitoes. Further, by using mathematical models of malaria transmission that incorporate the lethal effect of ivermectin against malaria-transmitting mosquitoes, they have demonstrated that this system will boost the efficacy of mass drug administration toward malaria elimination goals. Encapsulated, gastric-resident dosage forms for ultra?long-acting drug delivery have the potential to revolutionize treatment options for malaria and other diseases that affect large populations around the globe for which treatment adherence is essential for efficacy.
",To develop a new drug delivery system that may someday eliminate the need to take ivermectin medication daily.,Product development & clinical research,"Drug-based strategies, Tools for elimination"
"Physiologically-based pharmacokinetic modeling of ivermectin in healthy human volunteers - a single-center, open-label pharmacokinetics study",https://clinicaltrials.gov/ct2/show/record/NCT02963324,Project,Nov-16,Jan-17,Switzerland,,,,,University Hospital Basel,Stephan Krähenbühl,,"Ivermectin (IVM) is a broad spectrum antiparasitic drug. Recent research indicates that IVM could potentially be used in malaria vector control.
The present study assesses the pharmacokinetic profile of IVM in healthy human volunteers and aims to create a physiologically-based pharmacokinetic model. This model will be used to characterize enterohepatic circulation, serve as a basis for drug-drug and drug-disease-state interaction studies, and simulations of IVM disposition in different populations, with special regard given to adolescents and children. With this, safety in individual administrations can be increased, and mass drug administration programs, e.g. oral IVM as malaria vector control, be simulated and planned to maximize the share of a population that can be included. Capillary blood concentration profiles will also be determined to assess the amount of IVM delivered to mosquitos in malaria vector control programs. Furthermore, this study will validate dried blood spot analytics of IVM which will allow easier procurement of pharmacokinetics (PK) data in the field.
",The present study assesses the pharmacokinetic profile of Ivermectin in healthy human volunteers and aims to create a physiologically-based pharmacokinetic model. Planned indication is the prevention of malaria transmission.,Product development & clinical research,"Drug-based strategies, Tools for elimination"
Repeat ivermectin mass drug administrations for control of malaria: a pilot safety and efficacy study (RIMDAMAL),https://clinicaltrials.gov/ct2/show/record/NCT02509481?term=ivermectin&cond=Malaria&rank=3&show_desc=Y,Project,Jun-15,Aug-16,Burkina Faso,,,," Research Institute of Health Sciences (IRSS), Burkina Faso, Ministry of Health (MOH) Burkina Faso, Centre Muraz, Burkina Faso",Colorado State University,"Brian Foy, Roch Dabiré"," Research Institute of Health Sciences (IRSS), Burkina Faso, Ministry of Health (MOH) Burkina Faso, Centre Muraz, Burkina Faso","Hypothesis: Repeated IVM MDA starting at the beginning of the rainy season will be well tolerated and safe, and will reduce clinical malaria episodes in children by significantly reducing malaria transmission among treated villages.
Overview Study Design: Single-blind (outcomes assessor); parallel assignment with 2 arms; cluster-randomized control trial to determine the effect of repeated IVM MDA on malaria transmission and clinical malaria episodes. The unit of randomization will be the village (cluster). 8 villages total will be enrolled in two arms. The active comparator arm (4 villages) will receive a single standard MDA (IVM; 150-200 µg/kg + albendazole; 400 mg) soon after the start of the rainy season, while the experimental arm (4 villages) will receive the standard MDA on the same date, plus 5 more IVM MDA at 3 week intervals thereafter. The primary endpoint will be the cumulative incidence of clinical malaria episodes in children ?5 year of age within each village.
","The purpose of this study is to determine whether repeated ivermectin mass drug administrations to Burkinabé villagers, performed in three week intervals over the rainy-season, is well-tolerated and safe, and also effective in reducing local malaria transmission and thus clinical malaria episodes in treated village children.",Product development & clinical research,"Drug-based strategies, Tools for elimination"
Ivermectin development roadmap,https://www.gatesfoundation.org/How-We-Work/Quick-Links/Grants-Database/Grants/2017/08/OPP1177135,Project,Aug-17,Aug-18,Spain,$99 985,Bill & Melinda Gates Foundation (BMGF),,,Barcelona Institute for Global Health (ISGlobal),Carlos Chaccour,,"As malaria transmission is curbed by effective vector control with indoor tools (LLINs and IRS), drug-based strategies and economic development, the relative importance of residual transmission increases. This poses a serious threat to reaching elimination goals. Mass administration of ivermectin (a drug capable of targeting malaria vectors regardless of time and place of biting) has gained increased attention by funders, academia and international organizations as a potential complementary tool for malaria elimination. There is now clear WHO guidance on the Preferred Product Characteristics for such a tool and a draft Target Candidate Profile by Medicines for Malaria Venture.  Still, the malaria community lacks alignment on the processes needed to transform the potential of ivermectin into an implemented tool. This project aims at producing a roadmap for such transformation including key issues to be resolved (dose, regimen, eligibility, regulatory pathway), go/no-go criteria along the evaluation and development process. For this, the ivermectin taskforce, a group of experts and stakeholders will work on complementary streams to produce a roadmap document and accompanying TPPs that can guide related investments and efforts.
",To design a roadmap leading to the use of ivermectin as a public health intervention for complementary malaria vector control in endemic areas,Entomology,"Drug-based strategies, Tools for elimination"
Endectocide use in livestock as a tool to help eliminate malaria in Central America,https://projectreporter.nih.gov/project_info_description.cfm?aid=9245228&icde=35858735&ddparam=&ddvalue=&ddsub=&cr=19&csb=default&cs=ASC&pball,Project,Jan-17,Dec-18,,$139 000,"National Institute of Allergy and Infectious Diseases (NIAID), NIH",,,University of North Dakota,Jefferson Vaughan,,"Malaria is a major health problem throughout the tropical world and is transmitted by a variety of Anopheles mosquitoes. Core vector control interventions consist of indoor residual spraying of insecticides and long- lasting insecticidal nets. These are logical strategies in areas where the primary vector species feed at night on people sleeping in their houses and where mosquitoes rest inside the house after blood-feeding. But in Central America, much of the malaria transmission is due to malaria vectors that are exophagic (i.e., prefer to bite outdoors), exophilic (i.e., prefer to remain outdoors), and zoophaghic (i.e., as likely to feed on non-humans as humans). To control mosquitoes with these behavioral characteristics requires a different approach. This proposal addresses the control of zoophagic vectors. Endectocides are chemicals that are widely used in the livestock industry to control parasites such as intestinal nematodes, ticks, mange mites, lice, and cattle grub. When ingested by mosquitoes in a bloodmeal, endectocides have also been shown to reduce the survival and fecundity of Anopheles malaria vectors. Use of endectocides in peridomestic livestock may simultaneously hasten malaria eradication, control ticks, and boost feed-conversion for livestock in Central America. 
","Targeted use of endectocides (such as ivermectin) in peridomestic livestock can significantly reduce the survival and longevity of zoophagic Anopheles vectors that feed on treated cattle. Because zoophagic vectors are responsible for much of the malaria transmission in Central America, malaria transmission will be reduced in areas where endectocides are given to livestock.
This proposal will determine if endectocides, when administered to cattle, reduces the survival and fecundity of zoophagic malaria vectors in Central America.",Entomology,"Drug-based strategies, Tools for elimination"
An oral ultra long-acting ivermectin for malaria elimination,https://projectreporter.nih.gov/project_info_description.cfm?aid=9346996&icde=35858735&ddparam=&ddvalue=&ddsub=&cr=1&csb=default&cs=ASC&pball=,Project,Aug-17,Jan-18,United States,$1 047 601,"National Center For Advancing Translational Sciences (NCATS), NIH",,,"Lyndra, Inc",Andrew M. Bellinger,,"Despite effective treatments, malaria remains a scourge of sub-Saharan Africa. Additional interventions beyond those currently available are needed to eliminate the disease. One strategy with increasing support is addition of ivermectin, a well-known and safe drug used for treating onchocerciasis and other diseases, to current mass drug administration (MDA) campaigns with artemisinin regimens. Ivermectin has a unique activity in interrupting malaria transmission in endemic areas by reducing the life expectancy of the vector Anopheles mosquitos that bite subjects who have ivermectin in their blood. Modelling, as well as proof of concept field studies, have shown that long (10 plus day) courses of small doses of ivermectin, in combination with short courses of currently used artemisinin combination MDA, have the potential to reduce the efficiency of malaria transmission, reduce malaria cases, and potentially lead to disease elimination. Treating even 50% of the population in this way can reduce disease transmission to levels that can protect the whole population, including children under 5 most at risk. To be effective, repeat dosing every three days would currently be necessary, limiting feasibility. Development of an ultra long-acting oral ivermectin formulation that achieves single dose administration and prolonged low level blood exposure could dramatically change current treatment options, reduce malaria morbidity and potentiate malaria elimination efforts. No existing oral delivery system can prolong therapeutic blood levels for small molecules therapeutics beyond 12-24 hours. Prototype oral capsules based on Lyndra's gastric residence technology have been developed, and can achieve 7-14 days of sustained therapeutic ivermectin levels in a pig model and have shown similar efficacy with other drugs in multiple large animal models.
","The goal of this grant is to develop an optimal ivermectin dosage form that 1) achieves consistent and efficacious blood levels of ivermectin for 14 days from a single dose administration, 2) develop a reproducible and scalable low cost manufacturing capability, and 3) evaluate these dosage forms with respect to pharmacokinetics and gastric retention in beagle dogs. Formulations will be developed to pharmaceutical grade standards of in vitro release and stability under Tropical Zone 4b standards. Methods of production compatible with low cost of goods production and scale will be prototyped. Dosage forms will be evaluated in extensive preclinical pharmacology studies in beagles, including stress conditions, and a toxicology study will be performed. This grant will deliver a product ready for IND-enabling studies and create capability for GMP production of clinical specimens for a phase 1 human pharmacokinetic (PK) study of ultra long-acting Lyndra-Ivermectin. ",Product development & clinical research,"Drug-based strategies, Tools for elimination"
Transfection technologies for investigating the role and antimalarial potential of GPCR-like proteins in Plasmodium,http://www.malariaeradication.org/mesa-track/transfection-technologies-investigating-role-and-antimalarial-potential-gpcr-proteins,Project,May-16,Nov-17,,$140 809,Wellcome Trust,"Seed Award in Science; 99,893 GBP",,University of Edinburgh,Joanne Thompson,,"Malaria causes more than 650,000 deaths annually, and new antimalarial therapies are urgently needed. Signalling pathways acting through GPCRs are the targets of 50% of drugs currently in therapeutic use, so have high potential as antimalarial drug targets. This project is aimed, therefore, at exploring the function and therapeutic potential of Plasmodium members of an evolutionary-ancient family of proteins, GPR89, that are classified as divergent G-Protein Coupled Receptors and have been implicated in environmental sensing in a diverse range of eukaryotes.
","To investigate the role of Plasmodium GPR89 in the regulation of parasite growth, differentiation, virulence, and immunogenicity, and gain insights into signaling pathways operating through GPR89 by identifying binding partners within the infected-erythrocyte. This approach will take advantage of unique expertise in transfection technologies for Plasmodium chabaudi; a particularly useful and relevant mouse model for studying acute and chronic malaria infection and for investigating host-parasite interactions that regulate cell-cycle progression, differentiation, and immune evasion during blood-stage infection.
These studies will advance our understanding of GPCR-like proteins in Plasmodium and will bring technological advances to the P.chabaudi model; so providing an experimental framework for the investigation and validation of a new class of therapeutic targets.",Basic science,Parasite genetic diversity
Managing insecticide resistance in malaria vectors by empowering farmers on agrochemicals use,http://www.malariaeradication.org/mesa-track/managing-insecticide-resistance-malaria-vectors-empowering-farmers-agrochemicals-use,Project,May-16,Apr-18,Cote d'Ivoire,$94 013,Wellcome Trust,"62,941 GBP",,Swiss Centre for Scientific Research in Côte d'Ivoire (CSRS),Chouaïbou Mouhamadou,,"Insecticide resistance is a major threat to malaria control. Resistance management strategies are based on largely untested hypotheses about sources of selection pressure and fitness costs of resistance.
","To investigate the impact of xenobiotics commonly found in the mosquito breeding sites on the resistance phenotype at both the larval and adult stage.
To investigate the impact that sublethal exposure to insecticides has on mosquito fitness.
The data will inform the development of urgently needed resistance management strategies for malaria control programmes in Africa.",Entomology,Insecticide resistance
Prime-Target Vaccination in Malaria,http://www.malariaeradication.org/mesa-track/prime-target-vaccination-malaria,Project,Jun-16,Nov-17,,$284 175,Wellcome Trust,"201,600 GBP",,University of Oxford,Adrian VS Hill,,,"Can a more protective liver-stage vaccine against P. falciparum malaria be identified by assessing antigens using transgenic parasite technology combined with sequencing of parasite peptides eluted from MHC molecules?
Can this liver-stage vaccine be improved by combining it with an aw virus-like particle-based anti-sporozoite vaccine?
How can these pre-erythrocytic components be efficiently integrated with anti-blood-stage and anti-sexual stage vaccine components to develop a highly effective multi-component malaria vaccine?
","Basic science, Product development & clinical research",Tools for elimination
Push-pull strategies in Tanzania and Kenya,http://www.malariaeradication.org/mesa-track/push-pull-strategies-tanzania-and-kenya,Project,2016,2019,"Kenya, Tanzania, United Republic of",,IVCC,,"Swiss Tropical and Public Health Institute (Swiss TPH) , International centre for Insect Physiology and Ecology (ICIPE), Kenya, Ifakara Health Institute (IHI), Biogents AG, Germany, Devan Chemicals, Belgium, Utexbel, Belgium, Sumitomo Chemical , Tulane University, Uniformed Services University of the Health Sciences (USUHS), USA","Wageningen University, Netherlands",,"Swiss Tropical and Public Health Institute (Swiss TPH) , International centre for Insect Physiology and Ecology (ICIPE), Kenya, Ifakara Health Institute (IHI), Biogents AG, Germany, Devan Chemicals, Belgium, Utexbel, Belgium, Sumitomo Chemical , Tulane University, Uniformed Services University of the Health Sciences (USUHS), USA","IVCC is supporting proof of concept studies in Kenya and Tanzania related to the use of Push-Pull as a means of addressing outdoor malaria transmission.
",The objective of this project is to evaluate the effectiveness of the push-pull trap strategy for control of outdoor-biting malaria vectors in the peridomestic area,Entomology,Tools for elimination
Attractive Targeted Sugar Baits in Mali,http://www.malariaeradication.org/mesa-track/attractive-targeted-sugar-baits-mali,Project,2015,2017,Mali,,IVCC,,,Westham,,,"IVCC is supporting a proof of concept study in Mali to assess the potential for Attractive Targeted Sugar Baits to control outdoor malaria transmission.
",The main objective of this project is to develop a trap as a new paradigm for vector control with potential for outdoor control of malaria parasite transmission in Africa,Entomology,Tools for elimination
